zh;en;carbohydrates;energy;fat;fat_saturated;fiber;proteins;salt;sodium;sugars
无糖桃（罐头）;Peach, unsweetened, canned;10;50;0;0;2;0,5;2,9;0,6;10
炖李子（沥干，无添加糖）;Plum, stewed, drained (without addition of sugar);13;60;0;0;2;0,7;1,7;2,1;10,9
西梅干;Prune, dried;40;205;0;0;16;2,5;0,8;12;39,8
新鲜李子;Plum, fresh;10;50;0;0;1,6;0,6;1,4;1,7;8,8
李子派（酥皮，烘烤）;Plum pie, baked (with puff pastry);16;140;7;3,8;1,4;2,5;3,4;93;7,7
李子派（蛋糕面团，烘烤）;Plum pie, baked (with cake dough);18;130;5;2,6;1,5;2,9;3,5;100;7,7
炖蘑菇（平均，无油无盐）;Mushroom (average), stewed (without addition of fat and salt);1;35;1;0,1;6;2,9;10;5,1;0,2
生蘑菇（平均）;Mushroom (average), raw;1;25;0;0,1;4,9;2,4;8,6;4,2;0,2
蘑菇烩饭（已煮）;Mushroom risotto, cooked;19;130;4;1,6;1,6;4;3,3;210;0,6
浓汁蘑菇酱;Mushroom sauce, thickened;8;85;4;1,6;0,7;3,6;2,8;330;5
蘑菇汤;Mushroom soup;6;40;1;0,5;0,5;1,1;4,9;370;2
松仁;Pine nuts;14;595;45;4,9;3,7;31,6;0,2;4,6;5,2
开心果干;Pistachio, dried;18;580;45;5,6;10;20,3;11;9;7,7
金枪鱼披萨（烘烤）;Pizza with tuna, baked;27;230;8;3,1;1,5;12,2;1,9;300;1,3
卡佐内披萨（烘烤）;Pizza Calzone, baked;27;230;8;3,1;1,5;11,5;2,3;360;1,4
夏威夷披萨（烘烤）;Pizza Hawaii, baked;24;195;6;2,6;1,5;9,5;1,9;300;3,5
玛格丽特披萨（烘烤）;Pizza Margherita, baked;30;240;8;3,4;1,7;9,9;2,1;280;1,5
蔬菜披萨（烘烤）;Pizza with vegetables, baked;17;125;3;1,2;1,9;5,6;6,1;140;1,8
马斯卡彭芝麻菜披萨（烘烤）;Pizza with mascarpone and rocket, baked;27;240;10;4,5;1,6;9,6;3,3;270;1,5
火腿蘑菇披萨（烘烤）;Pizza with ham and mushrooms, baked;24;205;7;2,8;1,6;10,6;4,2;320;1,3
火腿披萨（烘烤）;Pizza with ham, baked;29;220;7;2,3;1,6;10,6;2,1;380;1,5
四芝士披萨（烘烤）;Pizza with four cheeses, baked;37;300;10;4,8;1,8;12,9;6,7;430;0,2
生披萨面团（橄榄油）;Pizza doug ( with olive oil), raw;41;230;4;0,6;2;7;0,5;290;0,2
肉排（平均，牛、小牛、猪、禽）;Escalope (average of beef, veal, pork, poultry), raw;0;115;3;0,9;0;22,2;1,3;58;0
黑玉米粥（玉米粗粉/荞麦粉，已煮）;Polenta nera (made from corn semolina and buckwheat flour,) cooked;13;105;3;1,9;1;4,6;3,4;460;0,2
薯片;Pommes Chips;49;540;35;2,4;3,6;4,9;8;500;2,6
低脂薯片;Potato chips fat reduced;59;470;22;2,3;4,4;5,9;9,6;480;3,1
烤箱烤薯条（无盐）;French fries (baked in the oven), unsalted;33;230;9;0,5;2,4;3,3;5,3;16;1,8
高油酸葵花籽油炸薯条（无盐）;French fries (deep fried in HO sunflower oil), unsalted;33;285;15;1;2,4;3,2;5,1;15;1,7
爆米花;Popcorn;63;370;4;0,6;15;12;0;4;1,2
波特酒（18.5 vol%）;Port, 18.5 vol%;12;155;0;0;0;0,2;10;9;12
鸡胸肉（带皮，生，法国产）;Chicken, breast, with skin, raw (France);0;130;3;1,2;0;24;10;39;0
鸡胸肉（带皮，生，瑞士产）;Chicken, breast, with skin, raw (Switzerland);0;155;7;2,2;0;23,3;10;34;0
鸡胸肉（去皮，生，法国产）;Chicken, breast, without skin, raw (France);0;110;1;0,3;0;25,2;0,6;31;0
鸡胸肉（去皮，生，瑞士产）;Chicken, breast, without skin, raw (Switzerland);0;110;1;0,3;0;24,6;0,9;36;0
鸡胸肉（切块，生）;Chicken, breast (cut), raw;0;105;1;0,4;0;23,1;0,4;72;0
整鸡（带皮，生）;Chicken, whole, with skin, raw;0;170;10;2,8;0;18,8;10;70;0
鸡腿（带皮，生）;Chicken, leg, with skin, raw;0;185;13;3,5;0;17,6;0,4;95;0
鸡腿（带皮，生，法国产）;Chicken, leg, with skin, raw (France);0;145;8;2,4;0;19,4;8;57;0
鸡腿（带皮，生，瑞士产）;Chicken, leg, with skin, raw (Switzerland);0;165;10;3,2;0;17,9;8;63;0
鸡腿（去皮，生，法国产）;Chicken, leg, without skin, raw (France);0;125;4;1,3;0;20,6;5;72;0
鸡腿（去皮，生，瑞士产）;Chicken, leg, without skin, raw (Switzerland);0;135;6;2;0;19,7;5;76;0
新鲜蔓越莓;Cranberry, fresh;7;40;1;0;2,9;0,3;5;2;7
普鲁士饼干;Prussian cookie;54;440;22;13,2;1,2;4,7;0,5;310;27,4
焦糖布丁;Pudding, caramel;23;125;2;1,4;0,1;3,4;6,2;70;20,1
巧克力布丁;Pudding, chocolate;21;125;3;0,4;1;3;3,2;130;12,1
香草布丁;Pudding, vanilla;18;105;2;0,3;0,1;2,8;5,9;140;10,4
凝乳（至少20%脂肪干物质）;Curds min. 20% fidm;4;100;5;3;0;9,6;21;32;3,4
脱脂凝乳（至多10%脂肪干物质）;Curds with at most 10% fidm;4;65;0;0,1;0;10,8;27;33;3,5
高脂凝乳（至少40%脂肪干物质）;Curds min. 40% fidm;4;185;16;9,4;0;7;8,5;29;3,2
凝乳酥皮（黄油，生）;Curd cheese puff pastry (with butter), raw;29;405;28;16,8;1,3;7,1;3,2;330;1,3
凝乳酥皮（植物脂肪，生）;Curd cheese puff pastry (with vegetable fat), raw;29;400;28;9,3;1,3;7,1;3,6;340;1,1
洛林咸派（酥皮，烘烤）;Quiche Lorraine, baked (with puff pastry);12;305;25;13;0,4;8,5;9,8;460;1,6
洛林咸派（蛋糕面团，烘烤）;Quiche Lorraine, baked (with cake dough);15;295;22;11,2;0,6;9;9,8;480;1,6
煮温桲（沥干，无添加糖）;Quince, cooked, drained (without addition of sugar);8;55;0;0;8;0,4;1,2;3,8;7,9
新鲜温桲;Quince, fresh;6;45;0;0;6,4;0,3;1;3;6,3
拉克莱特奶酪;Raclette cheese;0;360;28;16,7;0;26,4;11;730;0
生小红萝卜;Radish, red, raw;2;20;0;0;1,6;1;1,2;21;2,1
奶油（平均）;Cream (average);3;255;25;15,2;0;2,4;9,9;48;3,4
水果奶油冰淇淋;Ice cream, dairy, fruit;25;185;8;5;0;3,5;0;61;23,7
太妃糖;Candy, toffee;79;355;4;2,2;0;0,4;1,1;120;79,3
蒸甜菜根（无盐）;Beetroot, steamed (without addition of salt);11;60;0;0;3,1;1,9;0,5;58;10,5
生甜菜根;Beetroot, raw;8;50;0;0;2,5;1,5;0,4;58;8,4
菜籽油;Rapeseed oil;0;810;90;7,2;0;0;0;0;0
高油酸低亚麻酸菜籽油;Rapeseed oil HOLL (high oleic, low linolenic);0;810;90;6,3;0;0;;;0
普罗旺斯炖菜（已制）;Ratatouille, prepared;5;50;2;0,3;2,1;1,5;1,8;180;4,3
烟熏萨拉米;Smoked salami;1;515;47;17,9;0;21,4;0,8;1590;0,9
瑞布罗申奶酪;Reblochon cheese;0;310;25;15,1;0;20,3;0;800;0
生狍子肉（平均）;Roe (deer), raw;0;125;4;1,6;0;22,4;0,6;84;0
生狍子肉块;Roe (deer), ragout, raw;0;105;2;0,5;0;22;0,8;45;0
生狍子肉排;Roe (deer), schnitzel, raw;0;105;2;0,7;0;22,5;0,8;44;0
擦碎的奶酪;Cheese grated;0;400;29;17,7;0;32,3;40;580;0
盐水煮半熟米（无碘盐）;Rice parboiled, cooked in salted water (uniodised);27;120;0;0,1;0,5;2,4;1;540;0
半熟米（生）;Rice parboiled, raw;78;350;1;0,2;1,4;6,9;2;3;0
盐水煮精白米（无碘盐）;Rice polished, cooked in salted water (uniodised);26;115;0;0,1;0,5;2,2;0,9;530;0
精白米（生）;Rice polished, raw;78;350;1;0,2;1,4;6,6;2;5;0
盐水煮糙米（无碘盐）;Rice unpolished, cooked in salted water (uniodised);28;135;1;0,2;1,1;2,8;1,1;610;0,5
糙米（生）;Rice unpolished (wholemeal), raw;74;360;3;0,5;3;7,5;2,2;6;1,2
生萝卜;Radish, raw;3;20;0;0;1,2;0,6;1,2;12;2,6
生大黄;Rhubarb, raw;1;15;0;0;2,5;0,6;2,3;3;1
大黄派（酥皮，烘烤）;Rhubarb pie, baked (with puff pastry);9;115;7;3,8;2;2,5;4;94;2,5
大黄派（蛋糕面团，烘烤）;Rhubarb pie, baked (with cake dough);12;105;5;2,6;2,1;2,9;4,1;100;2,5
蒸冬南瓜（无盐）;Winter squash, steamed (without addition of salt);5;25;0;0;1;0,6;0,2;0,8;3,9
生冬南瓜;Winter squash, raw;5;25;0;0;1;0,6;0,2;1;3,9
煮牛胸肉（无油无盐）;Beef, breast, cooked (without addition of fat and salt);0;315;21;9;0;31,5;0,5;36;0
生牛胸肉;Beef, breast, raw;0;190;13;5,4;0;18,9;0,3;48;0
生牛腿肉片;Beef, round, schnitzel, raw;0;115;2;1,1;0;22,6;3;50;0
生牛肋眼肉牛排;Beef, entrecôte, steak, raw;0;140;5;2,1;0;22,3;0,1;55;0
生牛肋眼肉牛排（瑞士产）;Beef, entrecôte, steak, raw (Switzerland);0;135;5;2,2;0;23,2;3;42;0
生牛肋眼肉牛排（美国产）;Beef, entrecôte, steak, raw (USA);0;210;14;5,6;0;21,7;3;45;0
生牛里脊;Beef, filet, raw;0;110;2;0,9;0;21,9;0,1;42;0
生碎牛肉;Beef, minced, raw;0;155;8;3,2;0;21,6;3;61;0
生牛肉丝;Beef, chopped, raw;0;105;2;0,6;0;22,2;3;44;0
生炖牛肉块;Beef, ragout (goulash), raw;0;150;8;4;0;19,3;0,2;45;0
生牛上肋肉（瑞士产）;Beef, prime rib, raw (Switzerland);0;165;9;4;0;21,1;3;45;0
生牛上肋肉（美国产）;Beef, prime rib, raw (USA);0;220;16;6,8;0;19,3;3;38;0
生牛肝;Beef, liver, raw;5;140;4;1,4;0;20,5;13;120;0
生牛臀肉;Beef, eye of round, raw;0;110;2;0,8;0;22,4;3;39;0
烤箱烤牛肩肉（三分熟，无油无盐）;Beef, shoulder, medium roast in oven (without addition of fat and salt);0;165;5;1,7;0;30;0,1;59;0
烤箱烤牛肩肉（一分熟，无油无盐）;Beef, shoulder, rare roast in oven (without addition of fat and salt);0;150;4;1,5;0;27,7;0,1;54;0
烤箱烤牛肩肉（全熟，无油无盐）;Beef, shoulder, well done roast in oven (without addition of fat and salt);0;190;6;1,9;0;34,8;0,2;68;0
生牛肩肉（烤用）;Beef, shoulder (roast), raw;0;120;3;1,2;0;21,6;0,1;50;0
带脂熟牛肉;Beef, boiling meat, with fat, raw;0;230;17;7;0;19,5;3;60;0
瘦肉熟牛肉;Beef, boiling meat, lean, raw;0;135;6;2,5;0;20,7;3;57;0
生牛肉块;Beef, ragout, raw;0;100;1;0,6;0;21,2;3;49;0
生牛舌;Beef, tongue, raw;4;200;13;4,7;0;16;2,3;80;0
生牛肉（平均，不含内脏、排骨）;Beef (average excluding offal, chop), raw;0;135;5;2,4;0;21,4;1,6;45;0
牛肉炖肉（带酱汁，已制）;Beef ragout with sauce, prepared;3;95;3;0,5;0,6;12,6;2,2;300;1,6
生牛肋排;Beef, rib, raw;1;155;7;2,6;0;21,7;3,2;2470;0
无奶酪烩饭（已煮）;Risotto without cheese, cooked;25;125;1;0,2;0,6;2,2;0,9;250;0,7
加奶精芮斯崔朵咖啡（无糖）;Ristretto with coffee cream, no sugar added;1;50;4;2,6;0,1;0,8;3,2;23;1,1
小牛肉印度香饭（已制）;Riz Casimir with veal, prepared;16;125;3;0,8;1,1;6,9;1,5;300;3,3
鸡肉印度香饭（已制）;Riz Casimir with chicken, prepared;16;130;3;0,8;1,1;7,5;1,2;300;3,3
酸面团黑麦面包;Rye bread with sour dough;42;210;1;0,1;6,3;5,2;2,7;530;2,1
黑麦面粉（815型）;Rye flour Type 815;72;340;1;0,1;5,2;7,1;2,1;1;7,1
黑麦面粉（1050型）;Rye flour Type 1050;69;335;2;0,2;7,7;7,5;2,7;1;6,8
全麦黑麦面粉（1800型）;Rye flour (wholemeal) Type 1800;63;325;2;0,2;11,2;8,5;4,6;2;1
粗粒黑麦面包;Rye bread with rye grist;44;230;1;0,1;7,5;6,2;3,3;570;0,7
生培根;Bacon, raw;1;400;34;13,1;0;22,1;0;1520;0,6
生腌肉（平均）;Raw cured meat raw (average);0;305;21;5,6;0;28,1;0;1610;0,3
生火腿;Ham, raw;0;230;12;4,3;0;31;0;1760;0,3
成熟中断的生香肠（平均）;Raw sausages with interrupted maturation (average);1;370;34;12,7;0,1;15,6;0,9;940;0,6
生香肠（平均）;Raw sausages (average);0;455;41;15,6;0;22;0,4;1490;0,3
珍珠大麦;Pearl barley;71;345;1;0,3;4,6;9,6;1;5;2,2
醋腌卷鲱鱼;Rollmops (pickled herring);20;270;16;3,7;0;12;32;1180;18
卷火腿（腌熏猪肉）;Rollschinken, cured and smoked pork meat;1;185;11;4,1;0;20,3;1,1;1170;1,2
罗克福奶酪;Roquefort cheese;0;365;32;19;0;18,7;40;1600;0
蒸球芽甘蓝（无盐）;Brussel sprouts, steamed (without addition of salt);3;45;1;0,1;4,1;3,8;0,6;7,4;2,8
生球芽甘蓝;Brussels sprouts, raw;4;45;1;0,1;4,3;4;0,7;9;2,9
葡萄干;Raisins, dried (grape)/ sultanas;68;300;1;0,2;5,2;2,5;2;21;67,1
新鲜迷迭香;Rosemary, fresh;8;65;3;0,5;2,9;0,8;1;8;7,6
瑞士土豆饼（半成品）;Rosti (shredded potatoes, ready to fry);19;120;4;1,6;1,3;2;28;430;0,9
炖紫甘蓝（无油无盐）;Red cabbage, stewed (without addition of fat and salt);4;30;0;0;2,8;1,3;2,6;8,1;3,7
生紫甘蓝;Red cabbage, raw;4;30;0;0;3;1,4;2,9;10;4
棕色面包;Brown bread;44;235;1;0,2;4,1;9,5;1,4;630;0,5
生芝麻菜;Rocket, raw;2;30;1;0,1;1,6;2,6;0;27;2,1
胡萝卜蛋糕;Cake with carrots;25;295;16;1,7;4,5;9,8;9,4;62;19,2
蘑菇炒蛋（已制）;Scrambled eggs with mushrooms, prepared;2;130;9;3,1;0,4;9,4;27;260;1,4
奶酪炒蛋（已制）;Scrambled eggs with cheese, prepared;1;160;12;4,2;0;11,6;30;330;1,3
香草炒蛋（已制）;Scrambled egg with herbs, prepared;2;145;10;3,4;0,4;10,3;27;300;1,6
火腿炒蛋（已制）;Scrambled eggs with ham, prepared;1;150;10;3,3;0;12,7;26;410;1,3
炒蛋（已制）;Scrambled eggs, prepared;1;150;11;3,7;0;10,8;29;320;1,3
黄油蛋糕;Butter cake;45;435;25;13,7;0,9;6,7;9,4;65;26,7
俄式沙拉（已制）;Russian salad, prepared;10;200;16;2,3;2,2;2,5;3,3;140;1,8
酥性饼干（萨布雷）;Short bread cookie (Sablé);53;475;26;15,5;1,6;5,9;0,3;44;17,8
萨拉梅蒂小香肠;Salametti;0;345;31;11,9;0;14,8;0,6;1120;0,3
平价萨拉米;Salami budget type;0;425;37;13,6;0;22;;1530;0
诺斯特拉诺风味萨拉米;Salami Nostrano type;0;370;30;11,3;0;24,1;;1560;0
法式沙拉汁（菜籽油）;Salad dressing french style (with rapeseed oil);3;450;47;5,6;0,3;0,7;2,1;510;0,4
意式沙拉汁（橄榄油）;Salad dressing italian style (with olive oil);1;475;51;6,6;0,1;0,3;0,3;290;0,2
新鲜鼠尾草;Sage, raw;7;60;2;1,1;2,9;1,7;1;2;6,8
萨尔西斯香肠;Salsiz sausage;0;415;35;13,6;0;25,2;;1540;0
盐焗肉（菜籽油煎）;Saltimbocca, pan fried in rapeseed oil HOLL;0;230;12;2;0;30,2;0,2;660;0,1
油籽、果仁、坚果（平均，无盐）;Seeds, kernels, nuts (average), unsalted;11;600;51;9,4;9,5;20,3;5,8;8,6;3,5
油炸萨摩萨三角饺;Samosa deep-fried;32;345;20;4;3,4;6,3;2,9;360;2,4
烤萨摩萨三角饺;Somosa baked;34;310;16;3,8;3,6;6,7;3,1;390;2,6
冷切肉法棍三明治;Sandwich (baguette bread) with cold cuts;17;155;7;1,7;1,5;5;1,7;340;2
午餐肉法棍三明治;Sandwich (baguette bread) with luncheon meat;25;220;9;2,2;1,6;7,9;5,8;460;1,1
半硬质奶酪法棍三明治;Sandwich (baguette bread) with semi hard cheese;20;180;8;2,7;1,6;6,8;2,9;440;1,4
马苏里拉奶酪法棍三明治;Sandwich (baguette bread) with mozzarella;20;165;6;1,8;1,6;5,8;1,8;410;1,4
生火腿法棍三明治;Sandwich (baguette bread) with raw ham;19;165;6;1,3;1,5;8,8;1,7;550;1,3
萨拉米法棍三明治;Sandwich (baguette bread) with salami;18;160;6;1,6;1,7;5,8;1,3;490;2,1
火腿法棍三明治;Sandwich (baguette bread) with ham;17;135;4;0,6;1,6;6,3;1,8;460;2,1
风干肉法棍三明治;Sandwich (baguette bread) with dried meat;18;145;4;0,7;1,7;7,2;1,3;500;2,1
软质奶酪法棍三明治;Sandwich (baguette bread) with soft cheese;21;185;8;2,6;1,7;6,3;3,3;530;1,2
冷切肉棕色面包三明治;Sandwich (brown bread) with cold cuts;15;145;6;1,6;1,9;5,3;1,9;330;2
午餐肉棕色面包三明治;Sandwich (brown bread) with luncheon meat;22;210;10;2,2;2,2;8,1;6,1;450;1,1
半硬质奶酪棕色面包三明治;Sandwich (brown bread) with semi hard cheese;18;175;8;2,8;2,1;7;3,1;430;1,4
马苏里拉奶酪棕色面包三明治;Sandwich (brown bread) with mozzarella;18;155;6;1,9;2,1;6;2;400;1,4
生火腿棕色面包三明治;Sandwich (brown bread) with raw ham;16;160;6;1,3;1,9;9;1,8;540;1,3
萨拉米棕色面包三明治;Sandwich (brown bread) with salami;16;155;7;1,6;2,1;5,9;1,5;480;2,1
火腿棕色面包三明治;Sandwich (brown bread) with ham;15;125;4;0,6;1,9;6,4;1,9;450;2,1
风干肉棕色面包三明治;Sandwich (brown bread) with dried meat;16;135;4;0,7;2,1;7,4;1,5;490;2,1
软质奶酪棕色面包三明治;Sandwich (brown bread) with soft cheese;19;175;8;2,6;2,2;6,5;3,5;520;1,2
油浸凤尾鱼（沥干）;Fish product, anchovy in oil, drained;0;185;8;2,9;0;26,4;30;4970;0,1
凤尾鱼酱;Anchovis paste;0;275;21;4,1;0;19,8;24;7720;0,1
油浸沙丁鱼（沥干）;Fish product, sardine in oil, drained;0;215;14;2,8;0;23;26;480;0
生沙丁鱼;Fish, sardine, raw;0;165;9;2,6;0;20,4;32;110;0
酸菜香肠;Cabbage sausage;2;365;32;11,7;0,7;15,9;1,4;990;1,4
索西松香肠;Saucisson sausage;1;470;44;16,2;0;16,7;1,1;1000;0,5
沃州香肠;Sausage Vaudois;0;360;32;12;0;16,5;;830;0,2
醋渍德国酸菜;Sauerkraut, pickled;2;20;0;0,1;2,2;1,3;3,1;550;0
酸奶油（35%脂肪）;Sour cream (crème fraîche) 35% fat;3;335;35;21;0;2,3;9;30;2,8
半脂酸奶油（15%脂肪）;Sour cream 15% fat;3;175;17;10;0;3;11;40;3,2
斯布林茨硬奶酪;Sbrinz;0;420;33;19,9;0;28,6;40;710;0
生挪威海螯虾;Norway lobster, raw;1;95;1;0,2;0;19,6;240;340;0
香槟酒（起泡酒）;Sparkling wine, champagne;2;70;0;0;0;0,2;10;4;1,5
加工奶酪片（50%脂肪干物质）;Processed cheese, 50% fidm, slice;0;325;30;18;0;13,4;35;1200;0
加工奶酪片（15%脂肪干物质）;Processed cheese, 15% fidm, slice;0;160;9;5,2;0;20,1;35;1200;0
加工奶酪片（45%脂肪干物质）;Processed cheese, 45% fidm, slice;0;305;25;15;0;20;35;1200;0
可涂抹加工奶酪（50%脂肪干物质）;Processed cheese, 50% fidm, spreadable;0;310;29;17,6;0;11,2;35;1100;0
可涂抹加工奶酪（15%脂肪干物质）;Processed cheese, 15% fidm, spreadable;0;165;9;5,6;0;19,4;35;1200;0
可涂抹加工奶酪（45%脂肪干物质）;Processed cheese, 45% fidm, spreadable;0;255;21;12,7;0;16;35;1200;0
新鲜细香葱;Chives, fresh;2;30;1;0,1;2,3;3;4,2;3;1,9
鸡尾酒酱肉排面包;Schnitzel bread with cocktail sauce;25;270;11;1,2;1,3;15,1;0,8;520;0,5
鞑靼酱肉排面包;Schnitzel bread with tartare sauce;23;250;10;1,1;1,3;14,4;1,7;480;0,4
黑巧克力;Chocolate, dark;53;535;32;19,7;7;5,2;2,3;15;50
白巧克力;Chocolate, white;56;570;35;21,9;0,2;6,8;4,9;110;55,3
巧克力酱;Chocolate sauce;20;125;3;1,5;0,5;3,6;7;65;18,7
巧克力环形蛋糕;Chocolate ring cake;46;380;18;10,3;1,8;6,2;7,2;33;22,9
巧克力粉;Chocolate powder;71;405;8;4,6;10,5;6,3;0,9;5;70,6
生欧鲽;Fish, plaice, raw;0;90;2;0,3;0;17,1;53;100;0
许岑香肠;Schützenwurst sausage;0;310;30;10,9;0;9,9;0,6;850;0,2
黑森林蛋糕;Black forest cake;21;250;16;9,3;0,9;3,9;5,3;51;12
蒸黑根芹（无盐）;Black salsify, steamed (without addition of salt);2;60;0;0,1;20,3;1,6;2,6;4,4;2,3
生黑根芹;Black salsify, raw;2;55;0;0,1;18,3;1,4;2,5;5;2,1
生猪肋排;Pork, spare ribs, raw;0;240;19;7,2;0;17,9;1,1;54;0
生猪腿肉片;Pork, round, schnitzel, raw;0;115;3;0,7;0;22,6;1;72;0
生猪里脊;Pork, filet, raw1;0;125;4;1,4;0;22,2;1;120;0
生猪碎肉;Pork, minced, raw;0;160;9;3,1;0;20,5;1;46;0
生猪丝;Pork, chopped, raw;0;135;5;1,6;0;21,3;1;48;0
生猪颈肉排;Pork, throat, raw;0;205;14;5,5;0;18,9;1,1;47;0
生猪蹄膀;Pork, knuckle, raw;1;175;8;2,7;0;25,6;1;74;0
生猪排;Pork, chop, raw;0;180;10;3,9;0;21,4;1,1;43;0
生猪肝;Pork, liver, raw;1;130;5;1,7;0;20,7;14;77;0
生猪腰肉;Pork, loin, raw;0;140;5;2;0;22,9;1,2;38;0
生猪臀肉;Pork, eye of round, raw;0;130;5;1,7;0;20,6;1,1;45;0
烤箱烤猪肩肉（五分熟，无油无盐）;Pork, chuck, medium, roast in oven (without addition of fat and salt);0;230;12;2,4;0;31,1;1,3;76;0
烤箱烤猪肩肉（三分熟，无油无盐）;Pork, chuck, rare, roast in oven (without addition of fat and salt);0;220;11;2,3;0;29,3;1,2;71;0
烤箱烤猪肩肉（全熟，无油无盐）;Pork, chuck, well done, roast in oven (without addition of fat and salt);0;295;15;3,1;0;39,7;1,6;96;0
生猪肩肉（烤用）;Pork, chuck, roast, raw;0;185;9;1,9;0;24,6;1;68;0
生猪肉块;Pork, ragout, raw;0;135;6;2,1;0;20,9;0,8;46;0
生猪肉（平均，不含内脏、排骨、蹄膀）;Pork (average excluding offal, chop, knuckle), raw;0;160;8;2,9;0;21,4;1,1;63;0
猪油;Pork lard;0;895;99;42,4;0;0;9,7;2;0
猪肉煎烤香肠;Pork sausage (Schweinsbratwurst);1;240;19;7,4;0;16,2;;760;0,5
猪肉皮卡塔（已制）;Porc piccata, prepared;6;235;13;3,2;0,3;23,7;13;340;0,1
猪肉炖肉（带酱汁，已制）;Pork ragout with sauce, prepared;3;115;6;1,4;0,6;12,4;1;300;1,6
猪肉水煮香肠;Pork sausage (Schweinswurst);1;270;22;9;0;16,2;;930;0,5
瑞士萨拉米（牛肉猪肉）;Swiss Salami, beef and pork;1;490;44;16,6;0;22;0,9;1590;1,3
生无须鳕;Fish, hake, raw;0;75;0;0,1;0;17;120;77;0
生绿青鳕;Fish, pollock, raw;0;80;0;0,1;0;19,3;85;40;0
生鰨鱼;Fish, sole, raw;0;85;1;0,2;0;18,7;25;120;0
块根芹皮卡塔（已制）;Celeriac piccata, prepared;7;165;12;4,4;4,3;5,3;9,5;320;2
面包糠块根芹片（已制）;Celeriac slices, breaded, prepared;14;140;6;0,7;5,3;5;6,7;350;2,1
白面包卷（塞梅利）;Semmeli (bread roll, white);53;265;1;0,2;2,6;8,9;0,8;660;1
整粒芝麻籽;Sesame seeds whole;12;590;50;9,2;11,8;17,7;10;7,7;0,4
雪利酒（18.5 vol%）;Sherry, 18.5 vol%;4;120;0;0;0;0,1;10;6;3,6
熟肉沙拉（已制）;Boiling meat salad, prepared;2;230;17;4,5;0,5;16,5;2,8;310;1,3
醋渍珍珠洋葱;Pearl onion, pickled;5;30;0;0;1,3;0,9;0;450;3,5
未稀释糖浆;Syrup undiluted;92;375;0;0;0,9;0,1;0,9;1,3;91,4
稀释糖浆（1:5.5）;Syrup, ready to drink (dilution 1:5.5);14;55;0;0;0,1;0;0,1;1;13,4
煮大豆（无油无盐）;Soybean, cooked (without addition of fat and salt);12;175;7;0,8;3,6;14;3,6;2,4;1,4
大豆干;Soybean, dried;29;435;17;2,1;8,9;35,1;9;6;3,5
脱脂大豆粉;Soya flour, defatted;1;250;1;0,2;27,5;45,2;0,8;35;0,6
全脂大豆粉;Soya flour, full fat;3;405;21;2,9;18,5;40,8;0,5;40;3,1
豆奶;Soya milk;2;45;2;0,2;1,1;4;0,4;26;1,3
大豆油;Soybean oil;0;810;90;12,7;0;0;0;0;0
豆粕;Soya meal;1;250;1;0,2;27,5;45,2;0,8;35;0,6
生豆芽;Soybean sprouts;5;55;1;0,1;2,4;5,5;2;30;4,6
葵花籽;Sunflower seeds;12;630;53;5,1;8;21,3;5;3,6;2,1
葵花籽油;Sunflower oil;0;810;90;9,9;0;0;0;0,9;0
高油酸精炼葵花籽油;Sunflower oil HO (high oleic), refined;0;810;90;6,3;0;0;;;0
水果雪芭;Sorbet, fruit;32;140;0;0;0,4;0,2;2,6;1;32,1
蒸芦笋（无盐）;Asparagus, steamed (without addition of salt);3;30;0;0;1,7;2,2;6,6;2,6;3,2
生芦笋;Asparagus, raw;3;30;0;0;1,7;2,2;7;3;3,2
蒸菠菜（无盐）;Spinach, steamed (without addition of salt);1;30;1;0,1;3,4;3,6;15;73;0,9
生菠菜;Spinach, raw;1;25;0;0,1;2,6;2,7;12;65;0,7
菠菜蛋奶饼（酥皮，烘烤）;Spinach quiche, baked (with puff pastry);10;180;12;6,5;2,1;5,8;11;450;1,5
菠菜蛋奶饼（蛋糕面团，烘烤）;Spinach quiche, baked (with cake dough);12;170;10;5,2;2,2;6,1;11;460;1,5
烈酒（40 vol%，如白兰地、金酒）;Spirits, 40 vol% (e.g. brandy, gin);0;225;0;0;0;0;0;2;0
果酱夹心酥饼;Rascal (Shortbread cookie with jam);60;500;26;15;1,9;5,8;0,9;33;30,9
圣加仑半白面包卷;Bread roll from St. Gallen (semi white);45;235;1;0,1;3,5;9,1;1,1;840;0,3
圣加仑许布利希香肠;St. Gall Schüblig sausage;0;295;26;9,7;0;13,6;0,4;850;0,2
圣保兰奶酪;St. Paulin cheese;1;285;23;13,8;0;18;35;800;0
生醋栗;Gooseberry, raw;6;35;0;0;3,2;0,6;0,9;1;6,2
蒸芹菜杆（无盐）;Celery, steamed (without addition of salt);2;20;0;0;2,1;1;1;100;1,6
生芹菜杆;Celery, raw;2;15;0;0;2;0,9;1;110;1,5
炖牛肝菌（无油无盐）;Edible boletus, stewed (without addition of fat and salt);1;40;1;0,1;7,3;4,4;4,2;6,4;0,1
生牛肝菌;Edible boletus, fresh;1;35;0;0,1;6;3,6;3,6;6;0,1
鱼糕;Surimi;6;85;1;0;0;12,6;0;700;0
塔博勒沙拉（布尔古尔，已制）;Taboulé, prepared (with Bulgur);12;115;6;0,7;2,9;2,4;2,1;150;1,3
